,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
5985,"Lamb, braised, cooked, heart, variety meats and by-products",100 g,185,7.9g,3.1g,249mg,24.97 g,63.00 mg,0.00 IU,0.00 mcg,11.20 mcg,0.300 mg,7.0 mg,0,0,0,14.00 mg,0.610 mg,5.52 mg,24.00 mg,0.055 mg,254.00 mg,188.00 mg,47.0 mcg,3.68 mg,1.205 g,1.93 g,0.0 g,0,0,0,7.91 g,3.140 g,2.220 g,0.770 g,249.00 mg,0,0.99 g,0,64.20 g
5986,"Veal, braised, cooked, heart, variety meats and by-products",100 g,186,6.8g,1.8g,176mg,29.12 g,58.00 mg,0.00 IU,0.00 mcg,14.46 mcg,0.210 mg,10.0 mg,0,0,0,8.00 mg,0.432 mg,4.32 mg,18.00 mg,0.061 mg,250.00 mg,199.00 mg,52.4 mcg,2.24 mg,1.589 g,0.13 g,0.0 g,0,0,0,6.75 g,1.820 g,1.420 g,1.780 g,176.00 mg,0,1.82 g,0,62.18 g
5987,"Cereals, Blueberry Mini SPOONERS, MALT-O-MEAL, ready-to-eat",100 g,350,1.9g,0.4g,0,8.81 g,2.00 mg,0.00 IU,0,3.05 mcg,1.330 mg,0.0 mg,0.00 IU,0.67 mg,0.0 mcg,33.00 mg,0,29.45 mg,73.00 mg,0,331.00 mg,327.00 mg,0,6.81 mg,0,79.40 g,10.3 g,18.44 g,0,0,1.92 g,0.400 g,0.200 g,0.850 g,0.00 mg,0,5.47 g,0.00 mg,4.40 g
5988,"Potatoes, home-prepared from recipe using butter, au gratin",100 g,132,7.6g,4.7g,23mg,5.06 g,433.00 mg,264.00 IU,64.00 mcg,0.00 mcg,0.174 mg,9.9 mg,0.00 IU,0,0,119.00 mg,0.160 mg,0.64 mg,20.00 mg,0.161 mg,113.00 mg,396.00 mg,2.7 mcg,0.69 mg,0.113 g,11.27 g,1.8 g,0,0,0,7.59 g,4.733 g,2.149 g,0.276 g,23.00 mg,0,2.09 g,0,74.00 g
5989,"Potatoes, dry form, flakes without milk, dehydrated, mashed",100 g,354,0.4g,0.2g,0,8.34 g,77.00 mg,11.00 IU,1.00 mcg,0.00 mcg,0.748 mg,81.0 mg,0.00 IU,0.03 mg,8.7 mcg,27.00 mg,0.161 mg,1.21 mg,66.00 mg,0.161 mg,156.00 mg,1098.00 mg,13.4 mcg,0.70 mg,0.243 g,81.17 g,6.6 g,3.36 g,0.89 g,0.99 g,0.41 g,0.169 g,0.009 g,0.143 g,0.00 mg,0.0 g,3.50 g,0.00 mg,6.58 g
5990,"Candies, prepared-from-recipe, chocolate marshmallow, fudge",100 g,453,17g,11g,25mg,2.26 g,85.00 mg,273.00 IU,75.00 mcg,0.03 mcg,0.017 mg,0.2 mg,0,0.32 mg,2.3 mcg,45.00 mg,0.217 mg,0.96 mg,36.00 mg,0.232 mg,67.00 mg,147.00 mg,2.1 mcg,0.58 mg,0,71.34 g,1.7 g,64.06 g,0,0,17.48 g,10.669 g,5.205 g,0.611 g,25.00 mg,0,0.76 g,18.00 mg,7.82 g
5991,"Beans, with salt, boiled, cooked, mature seeds, small white",100 g,142,0.6g,0.2g,0,8.97 g,238.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.127 mg,0.0 mg,0.00 IU,0,0,73.00 mg,0.149 mg,2.84 mg,68.00 mg,0.510 mg,169.00 mg,463.00 mg,1.3 mcg,1.09 mg,0.350 g,25.81 g,10.4 g,0,0,0,0.64 g,0.166 g,0.056 g,0.276 g,0.00 mg,0,1.34 g,0,63.24 g
5992,"Pancakes plain, ready-to-heat (includes buttermilk), frozen",100 g,233,6.8g,1.2g,18mg,5.23 g,461.00 mg,1511.00 IU,453.00 mcg,2.80 mcg,0.520 mg,0.3 mg,0.00 IU,0.62 mg,6.5 mcg,78.00 mg,0.072 mg,5.67 mg,14.00 mg,0.285 mg,215.00 mg,90.00 mg,10.8 mcg,0.40 mg,0.145 g,37.75 g,1.0 g,8.32 g,4.58 g,0.00 g,6.83 g,1.162 g,1.554 g,3.831 g,18.00 mg,0.0 g,1.82 g,0.00 mg,48.37 g
5993,"Cereals ready-to-eat, KELLOGG'S CRACKLIN' OAT BRAN, KELLOGG",100 g,395,14g,6.2g,0,9.20 g,280.00 mg,816.00 IU,244.00 mcg,3.10 mcg,1.020 mg,31.0 mg,82.00 IU,0.00 mg,3.0 mcg,59.00 mg,0.400 mg,3.70 mg,153.00 mg,0,278.00 mg,403.00 mg,27.3 mcg,3.10 mg,0,70.30 g,12.7 g,28.00 g,0,0,14.10 g,6.200 g,4.900 g,2.800 g,0.00 mg,0.0 g,3.30 g,0.00 mg,3.00 g
5994,"Milk, with added vitamin A and vitamin D, lowfat, chocolate",100 g,62,1g,0.6g,5mg,3.46 g,65.00 mg,174.00 IU,52.00 mcg,0.23 mcg,0.047 mg,0.4 mg,43.00 IU,0.00 mg,0.1 mcg,129.00 mg,0.028 mg,0.23 mg,13.00 mg,0.030 mg,96.00 mg,172.00 mg,1.9 mcg,0.43 mg,0.067 g,9.86 g,0.1 g,9.94 g,0,0,1.00 g,0.584 g,0.541 g,0.095 g,5.00 mg,0.0 g,0.78 g,1.00 mg,84.91 g
5995,"Potatoes, unprepared, with butter sauce, frozen, hash brown",100 g,135,6.7g,2.6g,0,1.87 g,77.00 mg,84.00 IU,19.00 mcg,0.00 mcg,0.212 mg,5.7 mg,0.00 IU,0,0,25.00 mg,0.077 mg,0.75 mg,11.00 mg,0.185 mg,29.00 mg,248.00 mg,0.3 mcg,0.25 mg,0,18.28 g,2.9 g,0,0,0,6.66 g,2.556 g,2.386 g,1.374 g,0,0,0.69 g,0,72.51 g
5996,"Babyfood, junior, vegetables and noodles and turkey, dinner",100 g,52,1.5g,,0,1.80 g,17.00 mg,994.00 IU,50.00 mcg,0.12 mcg,0.018 mg,0.8 mg,0,0,0,32.00 mg,0.026 mg,0.26 mg,9.00 mg,0,29.00 mg,73.00 mg,2.8 mcg,0.30 mg,0,7.60 g,1.1 g,0,0,0,1.50 g,0,0,0,0,0,0.40 g,0,88.70 g
5997,"Alcoholic beverage, Pinot Gris (Grigio), white, table, wine",100 g,83,0g,,0,0.07 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06 g,0,0,0,0,0.00 g,0,0,0,0,10.7 g,0.16 g,0,86.98 g
5998,"Fluid replacement, electrolyte solution (include PEDIALYTE)",100 g,10,0g,,0,0.00 g,101.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,10.00 mg,0.010 mg,0.00 mg,1.00 mg,0,10.00 mg,77.00 mg,0.0 mcg,0.02 mg,0,2.45 g,0.0 g,2.45 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.18 g,0.00 mg,96.44 g
5999,"CAMPBELL'S Red and White, condensed, Chicken and Stars Soup",100 g,56,1.6g,0.4g,4mg,2.38 g,381.00 mg,397.00 IU,0,0,0,0.0 mg,0,0,0,0.00 mg,0,0.29 mg,0,0,0,444.00 mg,0,0,0,8.73 g,0.8 g,0.79 g,0,0,1.59 g,0.397 g,0.794 g,0.397 g,4.00 mg,0,1.30 g,0,86.00 g
6000,"MORNINGSTAR FARMS Garden Veggie Nuggets, unprepared, frozen",100 g,197,12g,1.1g,1mg,9.60 g,420.00 mg,0.00 IU,0,0.00 mcg,0.090 mg,0.0 mg,0.00 IU,0,0,74.00 mg,0,1.90 mg,0,0,67.00 mg,528.00 mg,0,0.30 mg,0,16.90 g,6.9 g,3.50 g,0,0,12.20 g,1.100 g,7.900 g,2.600 g,1.00 mg,0,2.60 g,0,58.70 g
6001,"MORNINGSTAR FARMS Parmesan Garlic Wings, unprepared, frozen",100 g,227,8.6g,1.2g,1mg,14.20 g,616.00 mg,0.00 IU,0,2.50 mcg,0.140 mg,0.0 mg,0.00 IU,0,0,82.00 mg,0,3.50 mg,0,0,107.00 mg,243.00 mg,0,0.50 mg,0,24.10 g,3.1 g,1.30 g,0,0,8.60 g,1.200 g,1.900 g,4.700 g,1.00 mg,0,2.70 g,0,50.40 g
6002,"MORNINGSTAR FARMS Tuscan Greens & Beans, unprepared, frozen",100 g,112,6.3g,3g,12mg,5.90 g,161.00 mg,0.00 IU,0,0.00 mcg,0.060 mg,0.0 mg,1.00 IU,0,0,99.00 mg,0,1.40 mg,0,0,58.00 mg,204.00 mg,0,0.50 mg,0,11.70 g,3.8 g,2.30 g,0,0,6.30 g,3.000 g,1.700 g,0.600 g,12.00 mg,0,3.20 g,0,72.90 g
6003,"CAMPBELL'S CHUNKY Soups, Beef with White and Wild Rice Soup",100 g,57,0.6g,0.2g,4mg,3.27 g,363.00 mg,1020.00 IU,0,0,0,0.0 mg,0,0,0,8.00 mg,0,0.44 mg,0,0,0,0,0,0,0,9.80 g,0.8 g,2.04 g,0,0,0.61 g,0.204 g,0,0,4.00 mg,0,1.62 g,0,84.30 g
6004,"Tangerines, drained, juice pack, canned, (mandarin oranges)",100 g,38,0g,,0,0.75 g,5.00 mg,1312.00 IU,66.00 mcg,0.00 mcg,0.043 mg,33.9 mg,0.00 IU,0.15 mg,0.0 mcg,12.00 mg,0.041 mg,0.27 mg,11.00 mg,0,11.00 mg,136.00 mg,0.4 mcg,0.53 mg,0,9.41 g,1.2 g,8.25 g,0,0,0.04 g,0.004 g,0.007 g,0.007 g,0.00 mg,0.0 g,0.29 g,0.00 mg,89.51 g
6005,"Corn with red and green peppers, solids and liquids, canned",100 g,75,0.6g,0.1g,0,2.33 g,347.00 mg,232.00 IU,12.00 mcg,0.00 mcg,0.097 mg,8.8 mg,0.00 IU,0,0,5.00 mg,0.060 mg,0.79 mg,25.00 mg,0.043 mg,62.00 mg,153.00 mg,0.6 mcg,0.37 mg,0.091 g,18.17 g,0,0,0,0,0.55 g,0.085 g,0.157 g,0.261 g,0.00 mg,0,1.45 g,0,77.50 g
6006,"School Lunch, frozen, TONY'S Breakfast Pizza Sausage, pizza",100 g,240,10g,3.5g,20mg,10.39 g,600.00 mg,395.00 IU,0,1.03 mcg,0.097 mg,0.0 mg,0,0,0,176.00 mg,0,2.10 mg,28.00 mg,0,210.00 mg,229.00 mg,0,1.94 mg,0,26.99 g,2.0 g,5.87 g,1.08 g,0,10.04 g,3.470 g,2.470 g,2.980 g,20.00 mg,0,2.38 g,0,50.20 g
6007,"Snacks, reduced fat, made from dried potatoes, potato chips",100 g,502,26g,6.8g,0,4.56 g,450.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.412 mg,12.0 mg,0.00 IU,2.18 mg,7.2 mcg,29.00 mg,0.153 mg,1.11 mg,45.00 mg,0.361 mg,129.00 mg,760.00 mg,2.9 mcg,0.70 mg,0.194 g,64.76 g,3.2 g,0.63 g,0.00 g,0.39 g,26.14 g,6.759 g,4.553 g,12.201 g,0.00 mg,0.0 g,2.31 g,0.00 mg,2.22 g
6008,"Cereals ready-to-eat, bagged cereal, Shredded Wheat, QUAKER",100 g,348,2g,0.4g,0,11.24 g,4.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.256 mg,0.0 mg,0.00 IU,0.00 mg,0,45.00 mg,0,3.33 mg,172.00 mg,0,362.00 mg,358.00 mg,0,2.54 mg,0,81.01 g,11.8 g,0.81 g,0,0,2.01 g,0.405 g,0.304 g,1.216 g,0.00 mg,0,1.54 g,0,4.20 g
6009,"Turkey, roasted, cooked, meat and skin, breast, all classes",100 g,189,7.4g,2.1g,74mg,28.71 g,63.00 mg,0.00 IU,0.00 mcg,0.36 mcg,0.480 mg,0.0 mg,0,0,0,21.00 mg,0.047 mg,1.40 mg,27.00 mg,0.020 mg,210.00 mg,288.00 mg,29.1 mcg,2.03 mg,1.677 g,0.00 g,0.0 g,0,0,0,7.41 g,2.100 g,2.450 g,1.800 g,74.00 mg,0,1.03 g,0,63.22 g
6010,"Squash, with salt, drained, boiled, cooked, scallop, summer",100 g,16,0.2g,,0,1.03 g,237.00 mg,85.00 IU,4.00 mcg,0.00 mcg,0.085 mg,10.8 mg,0.00 IU,0.12 mg,3.5 mcg,15.00 mg,0.083 mg,0.33 mg,19.00 mg,0.128 mg,28.00 mg,140.00 mg,0.2 mcg,0.24 mg,0.039 g,3.30 g,1.9 g,1.50 g,0,0,0.17 g,0.035 g,0.013 g,0.072 g,0.00 mg,0,0.50 g,0,95.00 g
6011,"Cereals ready-to-eat, ISLAND VANILLA, KASHI ORGANIC PROMISE",100 g,350,1.9g,0.4g,0,10.70 g,12.00 mg,0.00 IU,0,0,0.300 mg,0.0 mg,0,0,0,37.00 mg,0.200 mg,2.80 mg,108.00 mg,3.200 mg,275.00 mg,313.00 mg,0,2.60 mg,0,80.80 g,10.7 g,16.90 g,0,0,1.90 g,0.400 g,0.300 g,1.100 g,0.00 mg,0,1.30 g,0,5.20 g
6012,"Veal, braised, cooked, separable lean only, blade, shoulder",100 g,198,6.5g,1.8g,158mg,32.66 g,101.00 mg,0.00 IU,0.00 mcg,2.01 mcg,0.250 mg,0.0 mg,0.00 IU,0.45 mg,6.8 mcg,40.00 mg,0.171 mg,1.47 mg,28.00 mg,0.038 mg,252.00 mg,305.00 mg,14.5 mcg,7.39 mg,1.678 g,0.00 g,0.0 g,0.00 g,0,0,6.48 g,1.810 g,2.310 g,0.580 g,158.00 mg,0.0 g,1.24 g,0.00 mg,59.24 g
6013,"Veal, roasted, cooked, separable lean only, blade, shoulder",100 g,171,6.9g,2.6g,119mg,25.64 g,102.00 mg,0.00 IU,0.00 mcg,2.06 mcg,0.240 mg,0.0 mg,0,0.50 mg,0,28.00 mg,0.141 mg,1.00 mg,24.00 mg,0.030 mg,215.00 mg,310.00 mg,10.7 mcg,5.72 mg,1.317 g,0.00 g,0.0 g,0,0,0,6.88 g,2.570 g,2.470 g,0.560 g,119.00 mg,0,1.39 g,0,66.90 g
6014,"KEEBLER, Soft 'n Chewy Chocolate Chip Cookies, CHIPS DELUXE",100 g,464,21g,8.5g,5mg,4.20 g,349.00 mg,0,0,0,0,0,0,0,0,0,0,1.20 mg,25.00 mg,0,37.00 mg,180.00 mg,0,0.20 mg,0,67.40 g,2.5 g,29.90 g,0,0,20.70 g,8.500 g,4.600 g,6.000 g,5.00 mg,0,0,0,6.00 g
6015,"Onions, with salt, drained, boiled, cooked, chopped, frozen",100 g,26,0.1g,,0,0.77 g,248.00 mg,2.00 IU,0.00 mcg,0.00 mcg,0.069 mg,2.6 mg,0.00 IU,0.01 mg,0.3 mcg,16.00 mg,0.019 mg,0.30 mg,6.00 mg,0.071 mg,19.00 mg,108.00 mg,0.4 mcg,0.07 mg,0.032 g,6.00 g,1.7 g,2.90 g,0,0,0.10 g,0.016 g,0.013 g,0.038 g,0.00 mg,0.0 g,0.89 g,0.00 mg,92.24 g
6016,"CAMPBELL'S Red and White, condensed, Manhattan Clam Chowder",100 g,48,0.4g,0.4g,0,1.59 g,698.00 mg,794.00 IU,0,0,0,1.0 mg,0,0,0,16.00 mg,0,0.57 mg,0,0,0,198.00 mg,0,0,0,9.52 g,1.6 g,1.59 g,0,0,0.40 g,0.397 g,0.000 g,0.000 g,0.00 mg,0,2.09 g,0,86.40 g
6017,"PREGO Pasta, ready-to-serve, Heart Smart- Traditional Sauce",100 g,54,1.2g,,0,1.54 g,277.00 mg,385.00 IU,0,0,0,1.8 mg,0,0,0,15.00 mg,0,0.55 mg,0,0,0,292.00 mg,0,0,0,10.00 g,2.3 g,7.70 g,0,0,1.15 g,0.000 g,0.769 g,0.385 g,0.00 mg,0,1.70 g,0,85.40 g
6018,"Pineapple juice, undiluted, unsweetened, frozen concentrate",100 g,179,0.1g,,0,1.30 g,3.00 mg,50.00 IU,3.00 mcg,0.00 mcg,0.255 mg,42.0 mg,0.00 IU,0.03 mg,1.0 mcg,39.00 mg,0.313 mg,0.90 mg,35.00 mg,3.439 mg,28.00 mg,472.00 mg,0.4 mcg,0.40 mg,0,44.30 g,0.7 g,43.60 g,0,0,0.10 g,0.007 g,0.012 g,0.035 g,0.00 mg,0.0 g,1.20 g,0.00 mg,53.10 g
6019,"Game meat, broiled, cooked, separable lean only, round, elk",100 g,156,2.6g,1g,78mg,30.94 g,51.00 mg,0.00 IU,0.00 mcg,1.50 mcg,0.466 mg,0.0 mg,0,0.54 mg,0,5.00 mg,0.221 mg,4.08 mg,28.00 mg,0.015 mg,266.00 mg,392.00 mg,10.6 mcg,5.64 mg,1.574 g,0.00 g,0.0 g,0.00 g,0,0,2.64 g,1.037 g,0.750 g,0.124 g,78.00 mg,0.0 g,1.28 g,0.00 mg,65.43 g
6020,"Salad dressing, without salt, reduced fat, italian dressing",100 g,76,6.4g,0.5g,6mg,0.47 g,30.00 mg,12.00 IU,1.00 mcg,0.00 mcg,0.070 mg,0.0 mg,0,0.59 mg,12.5 mcg,9.00 mg,0.000 mg,0.65 mg,4.00 mg,0.000 mg,11.00 mg,85.00 mg,8.0 mcg,0.19 mg,0,4.57 g,0.0 g,4.55 g,2.31 g,0.00 g,6.38 g,0.451 g,2.190 g,1.704 g,6.00 mg,0.0 g,3.90 g,0.00 mg,84.68 g
6021,"Sweeteners, contains sugar and sucralose, brown, for baking",100 g,388,0g,,0,0.00 g,11.00 mg,0,0,0,0.040 mg,0,0,0,0,63.00 mg,0.083 mg,1.64 mg,10.00 mg,0.066 mg,2.00 mg,130.00 mg,0,0.08 mg,0,97.11 g,0,45.66 g,0.80 g,44.35 g,0.00 g,0,0,0,0,0,0.45 g,0,2.44 g
6022,"Chicken, raw, meat and skin, light meat, broilers or fryers",100 g,186,11g,3.2g,67mg,20.27 g,65.00 mg,99.00 IU,30.00 mcg,0.34 mcg,0.480 mg,0.0 mg,0,0.27 mg,2.4 mcg,11.00 mg,0.040 mg,0.79 mg,23.00 mg,0.018 mg,163.00 mg,204.00 mg,16.4 mcg,0.93 mg,1.291 g,0.00 g,0.0 g,0.00 g,0,0,11.07 g,3.160 g,4.520 g,2.340 g,67.00 mg,0.0 g,0.86 g,0.00 mg,68.60 g
6023,"Salad dressing, low calorie, mayonnaise and mayonnaise-type",100 g,263,19g,3g,26mg,0.90 g,837.00 mg,220.00 IU,21.00 mcg,0.21 mcg,0.020 mg,0.0 mg,0.00 IU,3.07 mg,24.7 mcg,14.00 mg,0.001 mg,0.26 mg,2.00 mg,0,30.00 mg,24.00 mg,1.6 mcg,0.18 mg,0,23.90 g,0.0 g,4.34 g,0,0,19.00 g,2.962 g,4.628 g,10.396 g,26.00 mg,0.0 g,2.00 g,0.00 mg,54.30 g
6024,"Babyfood, junior, vegetables and dumplings and beef, dinner",100 g,48,0.8g,,0,2.10 g,52.00 mg,660.00 IU,33.00 mcg,0.09 mcg,0.048 mg,0.8 mg,0,0,0,14.00 mg,0.030 mg,0.47 mg,7.00 mg,0,29.00 mg,47.00 mg,2.1 mcg,0.33 mg,0,8.00 g,0,0.00 g,0,0,0.80 g,0,0,0,0,0,0.60 g,0,88.60 g
6025,"Margarine-like, with salt, tub, vegetable oil-butter spread",100 g,362,40g,7.2g,0,1.00 g,786.00 mg,3571.00 IU,819.00 mcg,0.09 mcg,0.010 mg,0.1 mg,1.00 IU,4.47 mg,46.1 mcg,24.00 mg,0.002 mg,0.04 mg,2.00 mg,0,20.00 mg,36.00 mg,0.5 mcg,0.01 mg,0,1.00 g,0.0 g,0.00 g,0,0,40.00 g,7.238 g,18.438 g,12.573 g,0.00 mg,0.0 g,2.00 g,0.00 mg,56.00 g
6026,"Chicken, roasted, cooked, meat and skin, broilers or fryers",100 g,239,14g,3.8g,88mg,27.30 g,82.00 mg,161.00 IU,48.00 mcg,0.30 mcg,0.400 mg,0.0 mg,2.00 IU,0.27 mg,2.4 mcg,15.00 mg,0.066 mg,1.26 mg,23.00 mg,0.020 mg,182.00 mg,223.00 mg,23.9 mcg,1.94 mg,1.764 g,0.00 g,0.0 g,0.00 g,0,0,13.60 g,3.790 g,5.340 g,2.970 g,88.00 mg,0.0 g,0.92 g,0.00 mg,59.45 g
6027,"Cereals ready-to-eat, CHOCOLATE LUCKY CHARMS, GENERAL MILLS",100 g,381,4.4g,0.6g,0,5.59 g,539.00 mg,1786.00 IU,505.00 mcg,5.40 mcg,1.780 mg,21.4 mg,143.00 IU,0.57 mg,1.5 mcg,357.00 mg,0.212 mg,16.10 mg,57.00 mg,0,214.00 mg,249.00 mg,9.9 mcg,13.39 mg,0,84.40 g,5.3 g,36.79 g,0,0,4.40 g,0.600 g,2.100 g,1.600 g,0.00 mg,0.0 g,3.20 g,4.00 mg,2.29 g
6028,"Turkey, roasted, cooked, meat only, drumstick, retail parts",100 g,173,6.5g,1.7g,118mg,28.61 g,112.00 mg,20.00 IU,6.00 mcg,2.53 mcg,0.410 mg,0.0 mg,11.00 IU,0.07 mg,0.0 mcg,17.00 mg,0.112 mg,1.57 mg,24.00 mg,0.007 mg,193.00 mg,257.00 mg,31.0 mcg,4.50 mg,1.336 g,0.00 g,0.0 g,0.00 g,0,0,6.52 g,1.707 g,2.630 g,2.187 g,118.00 mg,0.0 g,1.06 g,0.00 mg,65.14 g
6029,"Fast Foods, meat and skin and breading, Wing, Fried Chicken",100 g,310,20g,5.4g,114mg,21.14 g,867.00 mg,53.00 IU,16.00 mcg,0.46 mcg,0.194 mg,0.0 mg,5.00 IU,0.74 mg,0.0 mcg,67.00 mg,0.079 mg,1.04 mg,24.00 mg,0.172 mg,220.00 mg,262.00 mg,28.4 mcg,1.33 mg,0,11.19 g,0.1 g,0.00 g,0.00 g,0.00 g,20.09 g,5.358 g,9.753 g,3.354 g,114.00 mg,0.0 g,3.00 g,0.00 mg,44.57 g
6030,"Seal, in oil (Alaska Native), dried, meat, bearded (Oogruk)",100 g,367,25g,3.9g,64mg,35.31 g,120.00 mg,1947.00 IU,0,5.85 mcg,0.091 mg,0.0 mg,0,0.55 mg,0.0 mcg,7.00 mg,0.270 mg,17.00 mg,29.00 mg,0.037 mg,240.00 mg,400.00 mg,90.8 mcg,3.10 mg,1.860 g,0.00 g,0.0 g,0.00 g,0,0,25.08 g,3.920 g,11.160 g,1.180 g,64.00 mg,0.0 g,1.42 g,0.00 mg,35.48 g
6031,"Cereals, dry, Cranberry Almond, KELLOGG'S SPECIAL K NOURISH",100 g,361,8.4g,1.1g,0,15.00 g,284.00 mg,962.00 IU,0,1.00 mcg,0.760 mg,23.0 mg,154.00 IU,2.60 mg,0,385.00 mg,0,10.39 mg,115.00 mg,0,467.00 mg,271.00 mg,0,1.70 mg,0,63.29 g,9.3 g,22.39 g,0,0,8.39 g,1.100 g,3.790 g,2.590 g,0.00 mg,0,4.80 g,0,8.50 g
6032,"Frostings, prepared with butter, dry mix, creamy, chocolate",100 g,408,13g,8.4g,24mg,1.11 g,124.00 mg,278.00 IU,76.00 mcg,0.02 mcg,0.063 mg,0.0 mg,7.00 IU,0.26 mg,0.8 mcg,12.00 mg,0.230 mg,0.93 mg,30.00 mg,0.259 mg,51.00 mg,143.00 mg,1.4 mcg,0.64 mg,0.049 g,71.80 g,1.9 g,0.01 g,0,0,13.06 g,8.369 g,3.425 g,0.496 g,24.00 mg,0.0 g,0.71 g,5.00 mg,13.33 g
6033,"Cereals ready-to-eat, KELLOGG'S ALL-BRAN BRAN BUDS, KELLOGG",100 g,257,2.5g,0.5g,0,8.90 g,685.00 mg,1667.00 IU,500.00 mcg,20.00 mcg,6.670 mg,20.0 mg,133.00 IU,0.00 mg,0.9 mcg,63.00 mg,0.500 mg,15.00 mg,200.00 mg,5.789 mg,500.00 mg,811.00 mg,28.9 mcg,5.00 mg,0,81.00 g,42.5 g,26.70 g,0,0,2.50 g,0.500 g,0.500 g,1.500 g,0.00 mg,0.0 g,4.48 g,0.00 mg,3.00 g
6034,"Lamb, braised, cooked, lungs, variety meats and by-products",100 g,113,3.1g,1.1g,284mg,19.88 g,84.00 mg,106.00 IU,32.00 mcg,2.52 mcg,0.060 mg,28.0 mg,0,0,0,12.00 mg,0.234 mg,4.57 mg,11.00 mg,0.016 mg,188.00 mg,127.00 mg,21.1 mcg,1.93 mg,1.677 g,0.00 g,0.0 g,0,0,0,3.10 g,1.060 g,0.800 g,0.430 g,284.00 mg,0,1.31 g,0,75.83 g
6035,"Lamb, braised, cooked, liver, variety meats and by-products",100 g,220,8.8g,3.4g,501mg,30.57 g,56.00 mg,24945.00 IU,7491.00 mcg,76.50 mcg,0.490 mg,4.0 mg,0,0,0,8.00 mg,7.074 mg,8.28 mg,22.00 mg,0.520 mg,420.00 mg,221.00 mg,111.4 mcg,7.89 mg,1.478 g,2.53 g,0.0 g,0,0,0,8.81 g,3.410 g,1.840 g,1.310 g,501.00 mg,0.0 g,1.42 g,0,56.67 g
6036,"Veal, braised, cooked, liver, variety meats and by-products",100 g,192,6.3g,2g,511mg,28.42 g,78.00 mg,70564.00 IU,21145.00 mcg,84.60 mcg,0.918 mg,1.1 mg,0,0.68 mg,1.4 mcg,6.00 mg,14.940 mg,5.11 mg,20.00 mg,0.270 mg,460.00 mg,329.00 mg,19.3 mcg,11.23 mg,2.288 g,3.77 g,0.0 g,0.00 g,0,0,6.26 g,1.986 g,1.146 g,1.069 g,511.00 mg,0.0 g,1.70 g,0.00 mg,59.86 g
6037,"Veal, braised, cooked, lungs, variety meats and by-products",100 g,104,2.6g,0.9g,263mg,18.74 g,56.00 mg,0.00 IU,0.00 mcg,2.38 mcg,0.060 mg,34.0 mg,0,0,0,7.00 mg,0.221 mg,3.61 mg,8.00 mg,0.015 mg,232.00 mg,142.00 mg,19.8 mcg,1.20 mg,0,0.00 g,0.0 g,0,0,0,2.64 g,0.910 g,0.680 g,0.360 g,263.00 mg,0,1.26 g,0,77.59 g
6038,"KEEBLER, Chocolate Chip & Pecan Shortbread Cookies, SANDIES",100 g,546,32g,11g,11mg,5.60 g,304.00 mg,0,0,0,0.030 mg,0,6.00 IU,0,0,0,0,2.90 mg,32.00 mg,0,83.00 mg,123.00 mg,0,0.70 mg,0,59.20 g,2.4 g,26.50 g,0,0,32.10 g,10.700 g,8.900 g,10.400 g,11.00 mg,0,0,0,2.50 g
6039,"CAMPBELL'S Red and White - Microwaveable Bowls, Tomato Soup",100 g,44,0g,,0,1.22 g,322.00 mg,163.00 IU,0,0,0,2.4 mg,0,0,0,8.00 mg,0,0.15 mg,0,0,0,0,0,0,0,9.80 g,1.2 g,7.35 g,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,1.58 g,0,87.40 g
6040,"Turkey and pork sausage, cooked, patty or link, bulk, fresh",100 g,307,23g,8g,84mg,22.70 g,878.00 mg,0.00 IU,0.00 mcg,1.26 mcg,0.340 mg,1.1 mg,79.00 IU,0.39 mg,5.7 mcg,32.00 mg,0.148 mg,1.62 mg,19.00 mg,0,191.00 mg,337.00 mg,21.0 mcg,3.17 mg,0,0.70 g,0.0 g,0.00 g,0,0,23.00 g,7.950 g,9.719 g,3.250 g,84.00 mg,0.0 g,2.70 g,0.00 mg,50.90 g
